"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|P14747|PP2B2_YEAST",-23.2973936515,NA,NA,-25.2711409676,-24.2159593391,-23.7232957158,4,5,5,3,2,3,NA,NA,NA
"sp|P14832|CYPH_YEAST",-17.5972731543,-17.2638826678,-17.340503469,-18.1534687562,-18.0009499986,-18.0247191783,36,34,33,26,24,20,0.0556509570765661,0.282692307692308,0.659159547333331
"sp|P14843|AROF_YEAST",NA,-22.7951137747,NA,-23.4595027931,-22.4868614319,-22.5682851671,NA,5,1,3,2,2,NA,NA,NA
"sp|P14854|CX6B1_HUMAN",-18.8476662958,-19.1821235648,-18.8731075604,-18.5594311471,-18.2348863419,-18.8698276674,9,8,7,9,9,8,0.23172505800464,0.5718901453958,-0.412917421533336
"sp|P14859|PO2F1_HUMAN",-24.511552907,NA,-24.2001457944,-24.4700214111,NA,-24.5269398933,3,3,2,4,4,3,0.627068590487239,0.867296631059984,0.142631301500003
"sp|P14866|HNRPL_HUMAN",-18.915239387,-19.1245037284,-18.8435468659,-18.7496248077,-18.9856072305,-18.7698098093,48,38,37,50,43,46,0.651449390951276,0.87519747235387,-0.126082711266669
"sp|P14868|SYDC_HUMAN",-19.1546510701,-19.159498032,-19.3317130164,-18.8561179502,-19.0318352597,-19.1869531829,46,33,38,48,40,36,0.508422563805104,0.816531294792164,-0.190318575233334
"sp|P14904|AMPL_YEAST",NA,-23.6529645092,NA,NA,NA,NA,2,4,4,1,1,NA,NA,NA,NA
"sp|P14906|SEC63_YEAST",-21.6885147131,-24.0091100293,-23.3396079225,-23.3106526261,-23.2828871768,-23.0386569886,11,5,8,9,5,7,0.669120794663573,0.878010878010878,0.198321375533332
"sp|P14907|NSP1_YEAST",-24.2025098214,-21.7478047803,-23.3230748184,NA,NA,-24.4902122752,4,8,6,1,1,2,NA,NA,NA
"sp|P14922|CYC8_YEAST",-23.1198154367,-24.1740758879,-22.7122843573,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA
"sp|P14927|QCR7_HUMAN",-20.7559577513,-20.5598653983,-19.6424626933,-19.5116422083,-20.4507151247,-19.8247603404,11,6,5,11,7,9,0.341626450116009,0.691682301438399,-0.390389389833334
"sp|P15019|TAL1_YEAST",-19.4214294502,-19.9798202014,-19.6446393183,-20.1821397428,-19.6386211115,-19.9737307533,26,19,24,14,18,19,0.44758599187935,0.76943140323422,0.249534212566665
"sp|P15104|GLNA_HUMAN",-21.7393371995,-21.014629078,-20.8411850406,-21.1421377792,-20.9544856904,-21.233756279,3,6,4,10,7,5,0.784159802784223,0.923395445134576,-0.0882571898333318
"sp|P15108|HSC82_YEAST",-21.1525120631,-21.3821641768,-20.6247251941,-22.3240811933,-21.4244997324,-21.2206512328,95,98,96,85,49,73,0.159511600928074,0.469223007063572,0.603276908166666
"sp|P15153|RAC2_HUMAN",-22.1469915591,-22.3041052075,-22.8851275131,NA,-22.7116119208,NA,5,4,5,5,5,4,NA,NA,NA
"sp|P15170|ERF3A_HUMAN",-20.216135284,-20.7619515165,-20.7202570816,-20.0392667363,-20.7417692424,-20.0667450589,24,17,22,31,23,23,0.421261890951276,0.752178649237473,-0.283520948166665
"sp|P15180|SYKC_YEAST",-21.1287037758,-21.0137860455,-20.3329965991,-22.9764191009,-22.2128880614,-22.0681811308,24,18,22,17,14,16,0.00602900232018561,0.0699300699300699,1.59400062423333
"sp|P15254|PUR4_ECOLI",NA,NA,NA,-23.0810899954,-24.0887975107,-24.4928593329,NA,NA,NA,9,4,4,NA,NA,NA
"sp|P15274|AMPD_YEAST",-23.1581302902,-22.8151924763,-22.8250887829,-24.8512859465,NA,-24.36164687,5,10,6,3,3,2,0.00267444895591647,0.0405405405405405,1.67366255845
"sp|P15288|PEPD_ECOLI",NA,NA,NA,-21.355155397,-21.2118525352,-21.7038477898,NA,1,NA,7,11,12,NA,NA,NA
"sp|P15303|SEC23_YEAST",-21.3003294707,-21.4533366143,-20.7941028004,-22.9397824374,-22.011245594,-21.686484987,16,13,20,10,14,11,0.0357543503480278,0.218274111675127,1.029914711
"sp|P15311|EZRI_HUMAN",-21.5459632126,-20.7072053953,-20.6750865564,-21.0920425226,-21.3565437515,-20.9527297366,20,19,20,22,18,19,0.645226653132251,0.874148296593186,0.157686948799999
"sp|P15367|SEC11_YEAST",-22.2215565956,-21.9314735807,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"sp|P15374|UCHL3_HUMAN",-19.8806503478,-19.9100805769,-19.8981368321,-20.0845811882,-19.8764786092,-19.4060792487,8,10,8,8,11,9,0.722153857308585,0.901874310915105,-0.107242903566664
"sp|P15424|MS116_YEAST",NA,NA,-24.6892091839,NA,NA,NA,2,4,5,2,NA,NA,NA,NA,NA
"sp|P15454|KGUA_YEAST",-20.4237642758,-19.7800180022,-18.974010999,-20.0545127538,-20.2303757399,-19.8224691986,6,5,8,4,6,5,0.43770156612529,0.764456233421751,0.309854805100002
"sp|P15496|IDI1_YEAST",-21.5437401651,-21.9978482698,-22.0250910113,-22.6642845908,-22.7142427717,-22.7228327089,2,2,3,1,1,1,0.0294047273781903,0.200564971751412,0.844893541733335
"sp|P15531|NDKA_HUMAN",-18.6213716892,-18.461345091,-18.3700069054,-18.4300770113,-18.2114806889,-18.4398847596,27,42,28,29,31,29,0.65398288863109,0.87519747235387,-0.123760408599999
"sp|P15559|NQO1_HUMAN",-21.430954867,-22.9420652569,-21.5998210838,-22.1345947611,-23.159717827,-21.8689114585,4,7,6,5,4,6,0.395699535962877,0.742338251986379,0.396794279633337
"sp|P15565|TRM1_YEAST",-23.8448369773,NA,-24.4746255843,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA
"sp|P15624|SYFB_YEAST",-20.3128450137,-20.3247769336,-20.1595438019,-21.185618851,-20.9221896803,-20.966355061,18,18,20,10,12,12,0.0334834686774942,0.211081794195251,0.758999281033333
"sp|P15625|SYFA_YEAST",-21.861150231,-20.8770704381,-21.8542567455,-22.10855277,-21.8312805765,-22.5712589884,12,15,9,8,6,10,0.135206061484919,0.443946188340807,0.639538306766667
"sp|P15639|PUR9_ECOLI",-24.0284660488,-23.2652497914,NA,-21.2889126039,-20.9317699525,-21.1422129108,3,1,NA,12,10,9,0.000442865429234339,0,-2.52589276436666
"sp|P15640|PUR2_ECOLI",NA,NA,NA,-23.541918437,-21.758576024,-20.8780162123,NA,NA,NA,4,4,6,NA,NA,NA
"sp|P15646|FBRL_YEAST",-20.5481304214,-20.3379958546,-20.5128841387,-21.3732129896,-21.5119037214,-21.4494060407,9,9,12,6,5,6,0.0130353828306264,0.122065727699531,0.978504112333333
"sp|P15703|BGL2_YEAST",-21.5730172496,-22.0284007622,-21.0052547784,NA,-22.3920001169,-22.0479198861,5,3,4,2,2,2,0.117030017401392,0.422110552763819,0.684402404766665
"sp|P15705|STI1_YEAST",-19.7820395837,-20.1601555318,-19.6640901915,-20.1522661814,-20.3355140356,-20.2243600165,23,22,24,18,15,17,0.253536832946636,0.596786534047437,0.36861830883333
"sp|P15873|PCNA_YEAST",-20.4204417918,-19.8721845939,-21.8075437309,-21.9293399502,-20.9096796638,-21.4668947118,11,11,6,4,10,7,0.155444460556845,0.465781409601634,0.735248069733334
"sp|P15880|RS2_HUMAN",-18.9283925697,-18.9152459295,-19.2863511764,-18.8542001231,-19.2424496858,-18.728144342,23,21,21,31,25,27,0.733562645011601,0.903353768481789,-0.101731841566664
"sp|P15891|ABP1_YEAST",-20.4116737316,-20.0930619952,-20.0619023184,-21.3087916321,-20.6903621311,-21.5331961162,21,21,25,14,20,18,0.0258351218097448,0.182370820668693,0.9885706114
"sp|P15923|TFE2_HUMAN",NA,NA,-24.072439865,-22.9452870709,-24.9702660895,NA,2,1,1,4,2,3,NA,NA,NA
"sp|P15927|RFA2_HUMAN",-19.5097672981,-20.6105543514,-19.8182388817,-21.3231639999,-20.567824312,-20.7445613126,12,10,12,9,11,10,0.05129843387471,0.276639344262295,0.89899636443333
"sp|P15976|GATA1_HUMAN",-21.8421907363,-22.296874294,-22.0109352094,-21.8209335384,-22.2907319676,-22.298199029,3,5,3,3,6,4,0.771106148491879,0.915123995808592,0.086621431766666
"sp|P15992|HSP26_YEAST",-18.2015675296,-17.6010480969,-17.3714327485,-18.3860262328,-18.1817740245,-17.9849729788,27,30,30,21,20,24,0.213563805104408,0.555366269165247,0.459574953699999
"sp|P16083|NQO2_HUMAN",-20.6928262013,-20.9250864154,-23.1849928941,-20.9519070127,-20.9224855191,-20.3918013005,5,5,5,6,8,5,0.145340342227378,0.455128205128205,-0.8455705595
"sp|P16104|H2AX_HUMAN",-19.9659091748,-19.5758285075,-19.679913612,-19.9498454513,-19.597735812,-19.5380664754,2,2,2,2,2,9,0.867059889791183,0.949889694295619,-0.045334518533334
"sp|P16120|THRC_YEAST",-19.8772132379,-20.1386504614,-20.6236895159,-20.4252738275,-20.6593705883,-20.6944707836,23,19,19,17,13,15,0.273220707656613,0.631236442516269,0.379853994733335
"sp|P16140|VATB_YEAST",-19.1748340269,-19.0893038063,-18.8598338842,-19.907625236,-19.6429030943,-19.5194593134,37,35,35,29,26,28,0.0664180684454756,0.312607944732297,0.648671975433334
"sp|P16150|LEUK_HUMAN",NA,-21.7518375834,-21.5836805245,-23.2288217889,-21.7927238828,-22.1897890211,3,7,5,5,6,7,0.133062790023202,0.439497716894977,0.736019176983334
"sp|P16152|CBR1_HUMAN",-20.5589706469,-21.5763381594,-20.8450084739,-20.5818627595,-20.4431472239,-20.3537872205,10,3,9,6,6,8,0.171290458236659,0.489815712900097,-0.533840025433332
"sp|P16157|ANK1_HUMAN",-20.6160207657,-20.8665711977,-20.8357796039,-20.3612007956,-20.3115759586,-20.1393770098,52,43,45,57,51,51,0.120794228538283,0.426980198019802,-0.5020726011
"sp|P16278|BGAL_HUMAN",-22.8050912986,-22.2717183571,-22.1217937827,-23.0957344098,-21.5910108422,-22.0343682349,7,5,6,7,9,6,0.688484918793503,0.887704606014465,-0.159163317166666
"sp|P16387|ODPA_YEAST",-20.6757711083,-20.0026802666,-20.1728287211,-21.3885292714,-22.5439237269,-21.1928620421,22,22,23,10,11,10,0.0134721577726218,0.130252100840336,1.4246783148
"sp|P16451|ODPX_YEAST",-23.6462896855,-23.0773352437,-22.2657503375,-23.7608320815,NA,NA,4,3,4,2,NA,NA,NA,NA,NA
"sp|P16474|BIP_YEAST",-20.9843482289,-20.4741565103,-20.3027005102,-21.3853900595,-20.4354095857,-20.5262950191,35,37,32,27,33,29,0.589933004640371,0.851310700472712,0.195296471633334
"sp|P16521|EF3A_YEAST",-19.7699124701,-19.7304683543,-19.5369959345,-20.2385200857,-20.0049115296,-20.0237926298,67,59,80,50,56,49,0.190070475638051,0.52367941712204,0.409949162066667
"sp|P16547|OM45_YEAST",-21.6760458108,-23.2615096132,-21.8792659471,-23.4108388053,-22.5148072059,-23.6077561391,9,6,8,5,4,7,0.0823996519721578,0.351766513056836,0.905526926399997
"sp|P16550|APA1_YEAST",-21.5461776812,-20.8775156065,-21.0088909756,-20.8716792594,-21.1134087267,-21.238891781,5,6,9,5,7,6,0.817839182134571,0.934782608695652,-0.0695348320666653
"sp|P16603|NCPR_YEAST",-20.8481604844,-20.2210323036,-20.1636833315,-21.7493726616,-22.5223746793,-22.2203356622,17,16,22,10,6,8,0.00317212877030162,0.0481927710843374,1.7530689612
"sp|P16615|AT2A2_HUMAN",-24.0566807053,-24.796694295,-23.5291852909,-23.5089281887,-24.7060412488,-24.8203176144,7,4,6,9,4,3,0.606770591647332,0.855942881142377,0.217575586899997
"sp|P16622|HEMH_YEAST",-22.7781016636,NA,-22.6049787256,-23.2797888799,NA,NA,3,2,1,2,NA,NA,NA,NA,NA
"sp|P16649|TUP1_YEAST",-21.7766931683,-21.2187642811,-21.2596289783,-22.4653300618,-22.4266642476,-22.6278768189,15,14,14,8,11,7,0.0140859918793503,0.130252100840336,1.08826156686667
"sp|P16659|SYP_ECOLI",NA,-23.1486138829,-24.3921435211,-20.3727813145,-20.8659545928,-20.8434970135,1,3,3,16,13,11,0.000383700696055684,0,-3.07630106173334
"sp|P16861|PFKA1_YEAST",-19.588073943,-19.6732110299,-19.586862656,-20.2646924109,-20.6661530123,-20.0736956078,42,41,42,33,31,31,0.0533022041763341,0.27710843373494,0.718797800699999
"sp|P16862|PFKA2_YEAST",-20.1983923399,-20.5159304481,-20.3132276379,-21.2305246554,-21.211942743,-20.9736523341,41,36,35,20,17,21,0.0318580336426914,0.206043956043956,0.796189768866665
"sp|P16930|FAAA_HUMAN",-20.8134752372,-21.1721764156,-20.9096981289,-20.9904409312,-20.692918042,-20.7794848471,15,12,16,12,13,13,0.616356438515081,0.859983429991715,-0.144168653800001
"sp|P16949|STMN1_HUMAN",-19.7340237352,-19.4423090941,-19.8757630224,-19.9241336181,-19.4257098499,-19.5821432032,15,15,13,14,14,15,0.882249854988399,0.950974230043998,-0.0400363934999994
"sp|P16965|STF2_YEAST",-19.9468814045,-19.5929692349,-19.9099977235,NA,NA,-21.0271580103,3,3,2,NA,NA,1,NA,NA,NA
"sp|P16989|YBOX3_HUMAN",-20.6507197493,-20.6738552346,-20.893557494,-21.0468589102,-21.261052236,-21.4072823606,13,16,12,11,13,16,0.132304959396752,0.439497716894977,0.499020342966666
"sp|P17028|ZNF24_HUMAN",NA,-22.7822751126,NA,-23.6943084635,-22.9710045583,NA,NA,1,1,2,4,1,NA,NA,NA
"sp|P17076|RL8A_YEAST",-22.4883620829,-22.3919802795,NA,NA,-22.4752450168,NA,1,3,20,20,1,1,NA,NA,NA
"sp|P17096|HMGA1_HUMAN",-18.8876735579,-19.0484603834,-18.3604172906,-18.5839394829,-19.0447332121,-18.4901589368,8,8,10,9,9,8,0.846032337587007,0.945076373090673,-0.0592398667000005
"sp|P17106|CBF1_YEAST",-20.9481629278,-21.4900964951,-21.2737801824,-22.095686494,-21.9283235528,-21.9999597596,5,3,5,2,4,2,0.0413741299303944,0.253588516746411,0.770643400366666
"sp|P17152|TMM11_HUMAN",-22.0795471035,-22.2274404514,-22.1120935877,-22.3725655079,NA,-22.4777879861,1,1,1,2,1,2,0.318049158932715,0.670811518324607,0.285483032800002
"sp|P17169|GLMS_ECOLI",NA,NA,NA,-23.9233212769,-23.0105321545,-22.2104791666,NA,NA,NA,2,2,4,NA,NA,NA
"sp|P17174|AATC_HUMAN",-19.754018609,-19.8346828492,-19.8402246592,-19.3943814877,-19.5783500319,-20.1205101922,20,14,14,18,13,17,0.716128915313225,0.899815837937385,-0.111894801866665
"sp|P17255|VATA_YEAST",-19.8713945132,-19.808258565,-19.7152232021,-21.0918510338,-20.6493495068,-20.8573172319,50,57,55,31,35,38,0.0121292053364269,0.120772946859903,1.0678804974
"sp|P17423|KHSE_YEAST",-22.4943624038,-21.4654985522,-21.5639181897,-22.4248413429,-23.3268238621,NA,5,4,7,4,4,5,0.0471861948955917,0.266375545851528,1.03457288726666
"sp|P17442|PHO81_YEAST",-24.1499348648,-24.2913246534,-24.1729531468,NA,NA,NA,4,6,7,1,NA,NA,NA,NA,NA
"sp|P17480|UBF1_HUMAN",-21.6765985913,-21.5389785865,-21.5254195856,-21.8762481648,-21.435099122,-22.0760781747,10,10,11,14,11,11,0.495380220417633,0.809268292682927,0.215476232699999
"sp|P17483|HXB4_HUMAN",NA,NA,-22.8279370394,NA,-23.115162642,NA,NA,1,1,NA,1,1,NA,NA,NA
"sp|P17505|MDHM_YEAST",-19.1943451623,-19.5342814075,-19.641482464,-20.6328479413,-20.4696284261,-21.3385817019,17,18,18,9,12,10,0.00905901972157773,0.0843373493975904,1.35698301183334
"sp|P17536|TPM1_YEAST",-20.068968372,-22.1774164236,-20.5357955462,-20.3818290542,-21.8291180148,-20.5471586527,15,9,11,10,8,6,0.96931409512761,0.975752264095822,-0.00802487336666857
"sp|P17542|TAL1_HUMAN",-23.4500684695,-23.1213586893,-23.3526186586,-23.6595034275,-23.2955335122,-23.261572429,2,1,2,3,2,2,0.734465342227378,0.903353768481789,0.0975211837666663
"sp|P17555|CAP_YEAST",-20.6423302839,-20.6412108517,-20.854164505,-22.3426412895,-21.7293418729,-22.0744930479,12,14,13,5,9,4,0.00599941995359629,0.0699300699300699,1.33625685656667
"sp|P17568|NDUB7_HUMAN",NA,NA,NA,-22.6405323636,NA,NA,1,1,1,1,1,2,NA,NA,NA
"sp|P17612|KAPCA_HUMAN",NA,NA,NA,-21.762833596,-23.2017969454,NA,2,3,NA,4,3,3,NA,NA,NA
"sp|P17649|GABAT_YEAST",-23.3823155743,-23.1425886775,-22.2915472866,-22.7388901542,NA,NA,10,11,10,8,4,3,NA,NA,NA
"sp|P17655|CAN2_HUMAN",-21.0308624374,-20.8387551717,-21.040697831,-20.8424124914,-21.3310050439,-21.2223445961,15,15,12,15,13,11,0.586267836426914,0.850668968493742,0.161815563766666
"sp|P17695|GLRX2_YEAST",-21.8256420504,-20.3352489384,-20.0289573577,NA,-20.508928211,-20.2990949778,7,4,5,2,5,3,0.505212296983759,0.816531294792164,-0.325937854433334
"sp|P17706|PTN2_HUMAN",NA,NA,NA,NA,-22.9954170713,NA,2,NA,NA,1,2,1,NA,NA,NA
"sp|P17709|HXKG_YEAST",-19.4354644329,-19.5853226947,-19.8782732734,-19.8583001365,-20.2600832255,-20.4306277826,30,27,29,20,14,18,0.129518996519722,0.439497716894977,0.549983581199996
"sp|P17812|PYRG1_HUMAN",-20.9299514916,-21.2697117563,-20.7690301288,-20.1643721604,-20.2914668714,-20.0669500225,15,20,19,23,26,25,0.0335436484918794,0.211081794195251,-0.815301440800003
"sp|P17844|DDX5_HUMAN",-19.0550368818,-18.8270103291,-18.8882742792,-18.7899795936,-18.8071428378,-18.9142215959,74,70,76,78,75,73,0.74179379350348,0.903825527350733,-0.0863258209333324
"sp|P17858|PFKAL_HUMAN",-21.3183391809,-21.8510429678,-21.1761351857,-21.7649988821,-21.5607047002,-21.636208006,13,10,12,8,10,11,0.520906467517401,0.825247291568535,0.205464751299999
"sp|P17891|CLC1_YEAST",-19.4392267069,-19.5092093063,-19.8751865272,-20.4356482999,-22.5266576207,-21.1910832359,12,12,10,8,4,6,0.0090294373549884,0.0843373493975904,1.77658887203333
"sp|P17967|PDI_YEAST",-19.1061079115,-18.9930025804,-19.1801299808,-19.9733346181,-19.5864973743,-19.6991826569,37,32,34,24,28,24,0.0586202146171694,0.290262172284644,0.659924725533333
"sp|P17980|PRS6A_HUMAN",-19.6537966414,-20.2636127848,-20.4265904161,-19.7300788936,-20.6042145805,-19.7503585446,30,18,18,25,18,25,0.802335411832947,0.931818181818182,-0.086449274533333
"sp|P17987|TCPA_HUMAN",-18.1787924664,-18.0161408954,-18.1499200025,-18.0953181416,-17.9136606578,-17.7751893236,73,61,68,81,77,77,0.512569750580046,0.819299905392621,-0.186895080433331
"sp|P18031|PTN1_HUMAN",-20.8250297657,-20.1163649617,-20.0490138661,-20.4179390418,-20.536019579,-20.7680888584,12,12,18,12,15,14,0.474138486078886,0.792878635907723,0.243879628566667
"sp|P18074|ERCC2_HUMAN",-23.8430908026,-22.8851801685,-25.1281060339,-23.0025477295,-25.07187363,NA,3,5,7,4,4,3,0.875660672853828,0.949889694295619,0.0850850114166661
"sp|P18085|ARF4_HUMAN",-22.6257091341,-21.5761724624,-22.5624199796,-21.5190984848,-22.3750167898,-21.4503769871,1,2,1,3,3,2,0.264231728538283,0.61527057079318,-0.473269771466668
"sp|P18124|RL7_HUMAN",-19.9577180008,-19.5188145127,-20.1015915973,-19.7294799617,-19.7110023156,-19.82994173,25,20,23,27,25,26,0.72694069025522,0.902955125866472,-0.102566701166666
"sp|P18206|VINC_HUMAN",-19.2384985292,-19.2311456205,-19.1542330562,-18.9350492908,-19.247399487,-19.0118197214,83,77,78,97,72,87,0.603571635730858,0.855152027027027,-0.143202902233334
"sp|P18239|ADT2_YEAST",-20.5981094564,-21.478459688,-20.5789159626,-21.6372030069,-22.3135805901,-22.1546403072,16,17,18,13,9,14,0.0202392691415313,0.148936170212766,1.14997959906666
"sp|P18562|UPP_YEAST",-21.0915881413,-21.1725030367,-20.279047248,NA,-21.8939685553,-21.3045523517,8,4,7,3,6,6,0.0967426044083527,0.37887323943662,0.751547644833334
"sp|P18583|SON_HUMAN",-22.3224008543,-22.119203202,-21.7458810277,-22.11246323,-22.0518289229,-22.0962502446,23,24,26,27,26,25,0.917982308584687,0.960426179604262,0.0243524378333326
"sp|P18615|NELFE_HUMAN",-22.2568330423,-21.3310794296,-21.5024321796,-22.0287047386,-22.5459718611,-21.4413219586,5,6,7,6,6,4,0.436334831786543,0.76436170212766,0.308551302266668
"sp|P18621|RL17_HUMAN",-19.4725434369,-19.0141734934,-19.138351701,-19.0341800581,-19.9574360147,-18.9961794346,12,11,14,10,13,13,0.726260150812065,0.902955125866472,0.120908958699999
"sp|P18669|PGAM1_HUMAN",-18.915800312,-18.6678136647,-18.7586795081,-19.281614968,-18.8807210423,-18.8674316489,34,32,29,36,30,33,0.450799448955916,0.772633744855967,0.229158058133333
"sp|P18754|RCC1_HUMAN",-18.8591117057,-18.5447515623,-18.7977441366,-18.7072136862,-18.3710000131,-18.6763670891,29,31,28,29,39,31,0.60724216937355,0.855942881142377,-0.149008872066666
"sp|P18759|SEC18_YEAST",-22.4706407312,-24.0356374723,-24.2045743398,NA,NA,NA,12,12,8,7,2,5,NA,NA,NA
"sp|P18843|NADE_ECOLI",NA,NA,NA,NA,-23.1156066089,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"sp|P18858|DNLI1_HUMAN",-21.1636436318,-22.7834813771,-21.6046951981,-21.4525194926,-21.2988575103,-21.5211609536,17,15,13,20,18,14,0.320891966357309,0.672312703583062,-0.426427416833334
"sp|P18859|ATP5J_HUMAN",-20.2753703118,-19.1959768988,-19.1742715413,-19.512834825,-19.2174591693,-19.1763096895,3,3,3,6,4,5,0.511840922273782,0.819299905392621,-0.246338356033338
"sp|P18887|XRCC1_HUMAN",-24.7198418937,NA,NA,-22.9444947277,NA,-22.9089315788,7,7,7,11,6,8,NA,NA,NA
"sp|P18899|DDR48_YEAST",-20.0707689628,-19.8747243813,-19.879129086,-21.2215497924,-20.6327450465,-22.2023484065,13,13,13,5,8,3,0.0137354988399072,0.130252100840336,1.4106736051
"sp|P19073|CDC42_YEAST",-22.6184456147,NA,-22.522250091,NA,NA,NA,3,3,4,4,NA,2,NA,NA,NA
"sp|P19097|FAS2_YEAST",-20.3650605919,-20.110373653,-20.4049317445,-21.0523756077,-20.7395270274,-21.3004444215,79,72,77,44,54,42,0.0502572505800464,0.276150627615063,0.737327022399999
"sp|P19146|ARF2_YEAST",-21.8316405088,NA,NA,NA,NA,NA,2,11,13,NA,8,NA,NA,NA,NA
"sp|P19174|PLCG1_HUMAN",NA,-25.1333830699,-24.4633625371,-25.410602602,-24.8747103427,-25.3822338551,NA,6,5,9,6,9,0.268075551044084,0.621145374449339,0.424142796433333
"sp|P19211|IF5A2_YEAST",-21.6416318012,-21.2748061889,-21.8443317597,NA,NA,NA,1,1,1,10,9,10,NA,NA,NA
"sp|P19262|ODO2_YEAST",-21.6723409112,-21.8399152355,-23.3147820856,-22.4029478047,-23.7193983928,-23.2439357534,5,6,6,3,2,1,0.110475928074246,0.406410256410256,0.846414572866664
"sp|P19338|NUCL_HUMAN",-19.5121821765,-19.3878857244,-19.8837533996,-19.5286342239,-19.2024335866,-19.4962797263,50,48,42,52,49,45,0.546214327146172,0.835535307517084,-0.185491254566667
"sp|P19358|METK2_YEAST",-20.6003040933,-20.6188499527,-20.8914275277,-20.7521277552,-20.3905112666,-20.3650018446,19,17,16,9,14,12,0.506631090487239,0.816531294792164,-0.200980235766668
"sp|P19367|HXK1_HUMAN",-21.1670142589,-20.9297402211,-21.2622575709,-21.4148090194,-20.8412696558,-20.9171223836,20,28,19,19,31,24,0.830688080046404,0.941448891829309,-0.0619369973666686
"sp|P19387|RPB3_HUMAN",-20.2588290998,-20.6873204979,-20.5150292036,-21.0527874439,-21.055613179,-20.716906269,9,6,6,6,5,4,0.177952291183295,0.505649717514124,0.454709363533333
"sp|P19388|RPAB1_HUMAN",-20.5814771168,-20.6093143805,-22.3024306078,-20.6530368916,-22.1341089485,-20.9036536979,4,4,7,5,4,4,0.876999274941995,0.949889694295619,0.0658591442999992
"sp|P19404|NDUV2_HUMAN",-22.1783257898,-21.382389787,-21.6484351104,-20.8873947664,-21.5637162628,-21.4340826586,5,6,6,7,4,9,0.243308004640371,0.583855799373041,-0.4413189998
"sp|P19414|ACON_YEAST",-19.1610338115,-18.9981086879,-19.1939336303,-19.5213292784,-19.7557555616,-19.5320881059,52,54,42,40,35,37,0.128904437354988,0.439497716894977,0.485365605400002
"sp|P19454|CSK22_YEAST",-23.4492165049,-23.4072003136,NA,NA,NA,NA,2,3,1,1,2,2,NA,NA,NA
"sp|P19524|MYO2_YEAST",-23.5803111409,-23.9871832563,-23.8367385986,-25.5317007007,NA,NA,9,8,6,2,2,2,NA,NA,NA
"sp|P19525|E2AK2_HUMAN",-22.314061709,-22.8820757137,-23.2989893049,-23.1731447277,-22.921117409,NA,8,5,5,4,5,7,0.560997534802784,0.842756183745583,0.215422159149998
"sp|P19623|SPEE_HUMAN",-18.8710141739,-18.8217851303,-19.0443505209,-18.8798382519,-18.7925500027,-18.6981533714,22,20,22,22,24,28,0.65121722737819,0.87519747235387,-0.122202733033333
"sp|P19784|CSK22_HUMAN",-20.5900126429,-20.7876274482,-20.8158994785,-20.8531495624,-21.0238010757,-20.6749856795,7,8,10,10,6,10,0.671464327146172,0.878143133462282,0.119465582666667
"sp|P19812|UBR1_YEAST",-26.5543090154,NA,-26.3212560624,NA,NA,NA,3,2,2,1,NA,NA,NA,NA,NA
"sp|P19838|NFKB1_HUMAN",-24.8236161387,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P19882|HSP60_YEAST",-18.9572452864,-18.9770468478,-18.8122253634,-19.3913718121,-19.7504640367,-19.2913193221,46,38,42,33,36,26,0.102397476798144,0.396978021978022,0.562212557766667
